"transect_id","distance_along_transect_m","quadrat_height_m","year","month","day","low_tide_time_local_time","low_tide_height_m","seaweed_id","phylum","percent_cover"
2,0,4.424,2021,9,5,"11:31",1,"fucus_distichus","brown",40
2,0,4.424,2021,9,5,"11:31",1,"saccharina_latissima","brown",0
2,0,4.424,2021,9,5,"11:31",1,"nereocystis_luetkeana","brown",0
2,0,4.424,2021,9,5,"11:31",1,"alaria_marginata","brown",0
2,0,4.424,2021,9,5,"11:31",1,"costaria_costata","brown",0
2,0,4.424,2021,9,5,"11:31",1,"laminariales_juvenile_recruits","brown",0
2,0,4.424,2021,9,5,"11:31",1,"desmarestia_viridis","brown",0
2,0,4.424,2021,9,5,"11:31",1,"desmarestia_herbacea","brown",0
2,0,4.424,2021,9,5,"11:31",1,"desmarestia_ligulata","brown",0
2,0,4.424,2021,9,5,"11:31",1,"scytosiphon_sp","brown",0
2,0,4.424,2021,9,5,"11:31",1,"melanosiphon_intestinalis","brown",0
2,0,4.424,2021,9,5,"11:31",1,"petalonia_fascia","brown",0
2,0,4.424,2021,9,5,"11:31",1,"sargassum_muticum","brown",0
2,0,4.424,2021,9,5,"11:31",1,"elachista_fucicola","brown",0
2,0,4.424,2021,9,5,"11:31",1,"hincksia_ovata","brown",0
2,0,4.424,2021,9,5,"11:31",1,"ulva_sp","green",0
2,0,4.424,2021,9,5,"11:31",1,"ulva_sp","green",0
2,0,4.424,2021,9,5,"11:31",1,"ulva_sp","green",0
2,0,4.424,2021,9,5,"11:31",1,"ulva_sp","green",0
2,0,4.424,2021,9,5,"11:31",1,"ulva_sp","green",0
2,0,4.424,2021,9,5,"11:31",1,"cladophora_stimpsonii","green",0
2,0,4.424,2021,9,5,"11:31",1,"rhizoclonium_tortuosum","green",0
2,0,4.424,2021,9,5,"11:31",1,"ulothrix_speciosa","green",0
2,0,4.424,2021,9,5,"11:31",1,"cladophora_microcladioides","green",0
2,0,4.424,2021,9,5,"11:31",1,"acrosiphonia_arcta","green",0
2,0,4.424,2021,9,5,"11:31",1,"acrosiphonia_coalita","green",0
2,0,4.424,2021,9,5,"11:31",1,"ulva_sp","green",0
2,0,4.424,2021,9,5,"11:31",1,"mastocarpus.upright_sp","red",5
2,0,4.424,2021,9,5,"11:31",1,"mastocarpus.crust_sp","red",0
2,0,4.424,2021,9,5,"11:31",1,"pyropia_sp","red",0
2,0,4.424,2021,9,5,"11:31",1,"wildemania_sp","red",0
2,0,4.424,2021,9,5,"11:31",1,"polyneura_latissima","red",0
2,0,4.424,2021,9,5,"11:31",1,"chondrachanthus_exasperatus","red",0
2,0,4.424,2021,9,5,"11:31",1,"mazzaella_splendens","red",0
2,0,4.424,2021,9,5,"11:31",1,"prionitis_sternbergii","red",0
2,0,4.424,2021,9,5,"11:31",1,"prionitis_filiformis","red",0
2,0,4.424,2021,9,5,"11:31",1,"sarcodiotheca_gaudichaudii","red",0
2,0,4.424,2021,9,5,"11:31",1,"hildenbrandia_sp","red",0
2,0,4.424,2021,9,5,"11:31",1,"cryptosiphonia_woodii","red",0
2,0,4.424,2021,9,5,"11:31",1,"polysiphonia_sp","red",0
2,0,4.424,2021,9,5,"11:31",1,"hollenbergia_subulata","red",0
2,0,4.424,2021,9,5,"11:31",1,"sparlingia_pertusa","red",0
2,0,4.424,2021,9,5,"11:31",1,"odonthalia_floccosa","red",0
2,0,4.424,2021,9,5,"11:31",1,"constantinea_subulifera","red",0
2,0,4.424,2021,9,5,"11:31",1,"callophyllis_sp","red",0
2,0,4.424,2021,9,5,"11:31",1,"schizymenia_pacifica","red",0
2,0,4.424,2021,9,5,"11:31",1,"crustose_coralline","red",0
2,0,4.424,2021,9,5,"11:31",1,"neodilsea_borealis","red",0
2,0,4.424,2021,9,5,"11:31",1,"pterothamnion_sp","red",0
2,0,4.424,2021,9,5,"11:31",1,"crustose_coralline","red",0
2,0,4.424,2021,9,5,"11:31",1,"cumathamnion_decipiens","red",0
2,0,4.424,2021,9,5,"11:31",1,"gracilaria_sp_or_gracilariopsis_sp","red",0
2,0,4.424,2021,9,5,"11:31",1,"grateloupia_californica","red",0
2,0,4.424,2021,9,5,"11:31",1,"savoiea_robusta","red",0
2,0,4.424,2021,9,5,"11:31",1,"ahnfeltia_sp","red",0
2,0,4.424,2021,9,5,"11:31",1,"ceramium_pacificum","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"fucus_distichus","brown",40
2,0,4.424,2021,10,4,"10:57",1.4,"saccharina_latissima","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"nereocystis_luetkeana","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"alaria_marginata","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"costaria_costata","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"laminariales_juvenile_recruits","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"desmarestia_viridis","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"desmarestia_herbacea","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"desmarestia_ligulata","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"scytosiphon_sp","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"melanosiphon_intestinalis","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"petalonia_fascia","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"sargassum_muticum","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"elachista_fucicola","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"hincksia_ovata","brown",0
2,0,4.424,2021,10,4,"10:57",1.4,"ulva_sp","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"ulva_sp","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"ulva_sp","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"ulva_sp","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"ulva_sp","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"cladophora_stimpsonii","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"rhizoclonium_tortuosum","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"ulothrix_speciosa","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"cladophora_microcladioides","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"acrosiphonia_arcta","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"acrosiphonia_coalita","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"ulva_sp","green",0
2,0,4.424,2021,10,4,"10:57",1.4,"mastocarpus.upright_sp","red",20
2,0,4.424,2021,10,4,"10:57",1.4,"mastocarpus.crust_sp","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"pyropia_sp","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"wildemania_sp","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"polyneura_latissima","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"chondrachanthus_exasperatus","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"mazzaella_splendens","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"prionitis_sternbergii","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"prionitis_filiformis","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"sarcodiotheca_gaudichaudii","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"hildenbrandia_sp","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"cryptosiphonia_woodii","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"polysiphonia_sp","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"hollenbergia_subulata","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"sparlingia_pertusa","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"odonthalia_floccosa","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"constantinea_subulifera","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"callophyllis_sp","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"schizymenia_pacifica","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"crustose_coralline","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"neodilsea_borealis","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"pterothamnion_sp","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"crustose_coralline","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"cumathamnion_decipiens","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"gracilaria_sp_or_gracilariopsis_sp","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"grateloupia_californica","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"savoiea_robusta","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"ahnfeltia_sp","red",0
2,0,4.424,2021,10,4,"10:57",1.4,"ceramium_pacificum","red",0
2,0,4.424,2021,11,5,"0:33",0.7,"fucus_distichus","brown",40
2,0,4.424,2021,11,5,"0:33",0.7,"saccharina_latissima","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"nereocystis_luetkeana","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"alaria_marginata","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"costaria_costata","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"laminariales_juvenile_recruits","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"desmarestia_viridis","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"desmarestia_herbacea","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"desmarestia_ligulata","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"scytosiphon_sp","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"melanosiphon_intestinalis","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"petalonia_fascia","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"sargassum_muticum","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"elachista_fucicola","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"hincksia_ovata","brown",0
2,0,4.424,2021,11,5,"0:33",0.7,"ulva_sp","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"ulva_sp","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"ulva_sp","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"ulva_sp","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"ulva_sp","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"cladophora_stimpsonii","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"rhizoclonium_tortuosum","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"ulothrix_speciosa","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"cladophora_microcladioides","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"acrosiphonia_arcta","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"acrosiphonia_coalita","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"ulva_sp","green",0
2,0,4.424,2021,11,5,"0:33",0.7,"mastocarpus.upright_sp","red",20
2,0,4.424,2021,11,5,"0:33",0.7,"mastocarpus.crust_sp","red",0
2,0,4.424,2021,11,5,"0:33",0.7,"pyropia_sp","red",0
2,0,4.424,2021,11,5,"0:33",0.7,"wildemania_sp","red",0
2,0,4.424,2021,11,5,"0:33",0.7,"polyneura_latissima","red",0
2,0,4.424,2021,11,5,"0:33",0.7,"chondrachanthus_exasperatus","red",0
2,0,4.424,2021,11,5,"0:33",0.7,"mazzaella_splendens","red",0
2,0,4.424,2021,11,5,"0:33",0.7,"prionitis_sternbergii","red",0
2,0,4.424,2021,11,5,"0:33",0.7,"prionitis_filiformis","red",0
2,0,4.424,2021,11,5,"0:33",0.7,"sarcodiotheca_gaudichaudii","red",0
2,0,4.424,2021,11,5,"0:33",0.7,"hildenbrandia_sp","red",0
2,0,4.424,2021,11,5,"0:33",0.7,"cryptosiphonia_woodii","red",0
